idx,sentence1,label
1376,🚩⚡️۴۰ سال شکنجه- ۴۰ سال مقاومت!🔻مهری سعادت در حالیکه تنها ۱۶سال داشت، به همراه خواهر کوچکترش در تظاهرات ۳۰خرداد۶۰ دستگیر و...🔺کودکان ۲-۳ ساله‌ای که شاهد اعدام پدرانشان بودند...نه…,Political
1377,تفاوت ما با ژاپنی ها اینه ما عن این عکسو در اوردیم : )#ایران_ژاپن#فوتبال,Nonpolitical
1378,ایده‌ی نوشتن یه کتاب راجع به امتحان زد به سرم اسمش‌و میذارم هنر خوب دادن مطمئنم می‌فروشه,Nonpolitical
1379, مدل لباس پوشیدن رو قید نکردی🤦اونم فاجعه ای هست در حد اینی که بیان کردی,Nonpolitical
1380, نمیدونم باید بخندم یا گریه کنم. فقرفرهنگی که ناشی از عدم آزادی در جامعه است، اینگونه پیآمدهارو بدنبال داره,Political
1381, آره، واقعا سخته منم خودم تا قبل اینکه نمره ها بیاد هی فحشش میدادم و استرس داشتم که بیفتم چون برگه رو فقط سیاه کردم ولی نمرم خوب شد واسه همینه که میگم اصن صحیح نمیکنه و مهم نیس,Nonpolitical
1382,یکی از کاربردی‌ترین کتاب‌هایی که این اواخر خواندم همین کتاب است که سمیر امین گفته  خواندنش برای کاشت بذر تردید سودمند است. مولفْ ۲۳ گزاره‌ی اسطوره‌ای شده‌ی سیاست و اقتصاد سرمایه‌داری_ که توسط رسانه‌ها و سلبریتی-کارشناسان علیه سوسياليسم به مغز مردم تزریق می‌شود_ را به چالش کشیده.,Political
1383,يه نفر زير پست رستاك كامنت گذاشته كه پول نداره بره كنسرتش ، رستاك هم مفتكي پسره رو دعوت كرد كنسرش.الان دلم ميخواد زير پست همه بازيگرا و دست اندركاراي تئاتر بي نوايان كامنت بزارم كه پول ندارم بلكه يكيشون اينجوري مفتكي تئاتر دعوتم كنه :(,Nonpolitical
1384,برای فهم #مدیریت_جهادی نیازمند یک جهاد علمی هستیم؛ از بس مزخرف کار کردن روش.فقط حال آدمو بهم میزننبه جمله‌بندی زیر دقت بفرمایید:1/,Political
1385, اتفاقا داد افاقه کرد چون بحق بود و ممیز متوجه اشتباهش شد. تازه باهامون راه اومدهمین که با همون داد دیگه قرار نیست من برم دارایی خودش خیلیه,Nonpolitical
1386,ای کسانی که صرفاً دم از علی و آل علی(ع)می‌زنیدآیا این است اوج عزت و برخورد با مؤمنین به #وصیت پیامبر(ص)در زمانی که هجمه‌هایی از چپ و راست بر پیکرۀ اسلام حقیقی وارد می‌کنند وشما ناتوان از پاسخ بودید؟!#ظلم_بس_است#احمد_الحسن#پایان_شیطان#بعثت_انقلاب مهدوی,Political
1387,سیر و پیاز: این سبزیجات سرشار از گوگرد هستند و نه تنها به غذاها طعم خوبی می دهند بلکه به عنوان یک آنتی اکسیدان برای چشم عمل می کنند.,Nonpolitical
1388,بعضیا شاید ریتوییتشون زیاد تاثیر نداشته باشه ولی همینکه باعث شه دو نفر بیشتر با توییتام ناراحت شن و ریپورتم کنن خوشحال میشم,Nonpolitical
1389,حذف عادل فردوسی پور از ویژه برنامه آسیا2019 مهم ترین دلیل حذف ایران از جام ملت های آسیاست.[نطق فردای یک نماینده مجلس از…,Political
1390,ای بابا ما از صبح سرکاریما هی پورن ریت میکنید. شوخی کردم خونه تنهام ریت کنید,Nonpolitical
1391, حتی حاج کردنشون هم یکم فاز طنز داره...چرا من حسی که این دوستان نوشتن رو ندارم به این متن :(,Nonpolitical
1392, پیدا کردی بیار با هم استفاده کنیم ازش,Nonpolitical
1393,من حساب کردن هر خواستگار با خودش سه تا همراهم بیاره ۲۰۰۰نفر خونشون بازدید کننده داره!چرا باباش بلیت نمیفروشه!!!چرا؟؟,Nonpolitical
1394,  این حجم از چندش بودن چجوری تو ی نفر جا میشه اصن😑,Nonpolitical
1395,ایران فدای اشک و خنده ی تودل پر و تپنده ی توفدای حسرت و امیدترهایی رمنده ی تو ...#مشق_23,Nonpolitical
1396, شکلاتشم دارم ولی در کل تی اچ سی موجود تو هردوشه که معجزه میکنه مزه و اینا مهم نیس اصلا,Nonpolitical
1397, اقا اونی که داری باهاش خوش و بش می کنی هم عضو مجمعه؟,Nonpolitical
1398,ولی خودمونیم فقط، ریدم تو کس و کون و زندگیاتون .. 😂,Nonpolitical
1399, #چهل_سال طبق گفته اقای برایان هوک تحصیل فرزندان سران رژیم ایران در آمریکا را یک نمونه دیگر از «ریاکاری» این…,Political
1400,🖋تل‌آویو مدعی شد: ۳ هیئت عراقی برای مذاکره به اسرائیل سفر کرده اند ایدی کوهن، تحلیل‌گر اسرائیلی مدعی شد، دولت عراق به منظور عقب‌نشینی ایرانی‌ها از جنوب سوریه در ازای توقف حملات هوایی به خاک سوریه آنها را فرستاده بودتا مذاکره کنند◾️جزییات 👇,Political
1401, باید روسی به فارسی شده را خوند . یک دست کمتره ! البته مترجم های فرانسوی معمولا یکم هنر خودشونو هم قاطی ترجمه می کنند ،ولی کرمم گرفت برم ببینم تو نسخه روسیش دقیقا چی نوشته,Nonpolitical
1402,امیر حسین کرم الدینی ، ساکن سیرجان انتهای محدوده خیابان غفاری,Nonpolitical
1403,  فعلا که به نظر میاد شماها خوابید اونم واسه شما لالایی های تجاوز میخونه! اگه همچین اتفاقی افتاده به جای این که برید واسه خودتون رکیک پارتی راه بندازید فحش بدید خبرش رو مطرح میکردید. اصلا تحقیق میکردید ببینید واقعا همچین چیزی هست یا نه,Nonpolitical
1404,   جای آنتی چپولیسم اسمتو بذار فدایی اسپرم همایونی!هر چقدر هم باز تعریف کنید پادشاهی رو از حقارتتون کم نمیکنه رعیت‌های محترم,Political
1405,تفاوت «ما» و «شما» یعنی دقیقا کی و کی؟ انصاریانِ بی‌سواد و کم شعور شد نماینده و معیار یک ملت؟,Nonpolitical
1406, آره همون رو میگم ولی از لحاظ معماری هم نگاه کنی باهات موافق نیستم. میدونم داری از چه منظری نگاه میکنی ولی از نظر من یه مرحله قبل از MicroService هستتو مایه های MicroMicroService,Nonpolitical
1407,"""  کاش کمی جاج بشه تا تحت عنوان """"خانواده""""، فقط فامیلی مرد رو نیاره، مثلا زنه امتیاز میاره ولی پوینت هم میره تحت سیطره فامیلی مرد قرار میگیره.""",Nonpolitical
1408,گذشتتونو یه جا دم دست بذارين تا یه وقتایی سرتون رو برگردونین و بهش یه نگاه بندازین که مبادا دوباره تکرارش کنین، همین😕😕,Nonpolitical
1409,دختره سوال پرسیده که آقایون آشپزی بلدید؟ فیواستار شده، حالا سوال من اینه که آقایون کسلیسی دوس دارید؟ قشنگ مشخصه که آره ولی ناموسا واسه خودتون هم که شده یکم مراعات کنید، زبونتون زخم میشه اونوقت دیگه غذام سخت میتونید بخورید چه برسه به لیسیدن!,Nonpolitical
1410, کلا سپیده گوهخور خیلییی زیاد داشت و داره,Nonpolitical
1411, همه رو فراری دادم خودم عاخر سر نمیدونم چی شدم ته خوابم باز بود 😂,Nonpolitical
1412,"""خوش بحال اون بازیکنایی که #مجید_حسینی """"زمین شون بزنه""""#ایهام""",Nonpolitical
1413,هنوز هیچی نشده و من نرفتهمامان بغض کردهامشبم با بغض خوابید:(,Nonpolitical
1414, شماره پلاک و اسمش رو فک کنم هاید می‌کردید بهتر بود. :|,Nonpolitical
1415,از اون خبرنگار و گزارشگری که این سوالای تخمی رو میپرسه و اون سایتی کیری  که این اخبار رو پوشش میده ،شما هم‌کیری هستین هم تخمی که از برد لذت نمی برید (گل قدوس❤😀)چسبید به این دوتا که ببینید چه گوهی میخورن,Nonpolitical
1416, نه اونجوریام نیست. بستگی داره هم به خود آدم هم طرف مقابلش.,Nonpolitical
1417,هیچ دو نفری آنقدر که بنظر می‌رسد از هم فاصله ندارند و هیچ دو نفری آنقدر که بنظر می‌رسد به هم نزدیک نیستند.,Nonpolitical
1418,١١. در فرودگاه مهرآباد تهران شعار می‌دهند «ننگِ ما ننگِ ما، صداوسیمای ما». ٢۴ نوامبر ٢٠١٣#IraniansWantIRIBban …,Political
1419,  علی دایی با کبد پاره یه نیمه بازی کرد هیچوقت منت نذاشت، این که انگشت کوچیکه دایی هم نیست، ما هم سرادرو دوست داریم ولی داداش تعصب زیادی باعث میشه آدم کور بشه یا عقلش ضایع بشه، خدا نساز از کسی ؛),Nonpolitical
1420, حجم وقع ها کمتر از حد مورد انتظارم بود:)),Nonpolitical
1421, چشتو عمل كردي بهش فشار مياد ها😬منم لنز گذاشتم بعد عمل تا يه مدت اصلا نزديك گوشي نميشدمشب اول هم با عينك آفتابي تو اهواز ميچرخيدم اين پسراي دلقك هم مسخرم ميكردن كه عينكتو يادت رفته برداري😒,Nonpolitical
1422,#آشپزی امری سهل ممتنع است. یعنی هرکسی می‌تواند غذا بپزد، این آسان است، در عین حال پختن غذای خوب کارِ هرکسی نیست. این تویی…,Nonpolitical
1423,از این به بعد میخوام برای خاطراتم تو #مترو یه هشتگ مشخص استفاده کنم. پیشنهاد شما چیه؟ولی #ريتوييت_لطفا تا یه نتیجه ای…,Nonpolitical
1424,#اگر_پولشو_داشتم  يه ببر ميخريدم و تا آخر عمر باهاش زندگي ميكردم🥰,Nonpolitical
1425, هر کس که درد مردم را درد خودش بداند هرگز تسلیم نخواهد شد.,Nonpolitical
1426,سید دوست داشتنی💙 ایشالله خدا خودش هرچه زودتر بهت عافیت و سلامت عطا کنهلطفا براشون دعا کنید 🙏.پ.ن: میدونم خیلیاتون اصلا از آخوند و ... خوشتون نمیاد. ولی آقای فاطمی نیا جز اون استثناهان.,Political
1427, موافقم من بیشتر جذب داستان میشدم همیشه ولی حرفایی که میزنه درسته.این یارو conan هم که گفتم تو یوتوب ببینش خیلی از طنز نویسا از جمله لوییس نویسندش بودن. یارو خود کارتونه اصن,Nonpolitical
1428, بابازسازی جبهه ملی درسطح کشوری وحمایت مالی ازاعتصاب کنندگان کارگرمعلم وکارمندان بهترمی توانیم رژیم جعلی جباراشغالگرکودککش اسلامی راسرنگون کنیم بازاریان وکارخانه داران اگرمعترضین راتأمین مالی کنندوتشویق به ادامه مبارزه پیروزخواهیم شد #مرگ_بر_دیکتاتور #میدان_میلیونی,Political
1429,"""کثیف ترین توییت رو الان خوندم """"ولی با منی که ازت یه گیگ اسکرین شات دارم...""""کاش بجای یه گیگ اسکرین شات یه مگ شعور داشتی""",Nonpolitical
1430,قیمت طلا و سکه در اولین روز هفته,Nonpolitical
1431,من از همون روز اول هم جغد بودم.,Nonpolitical
1432,اتفاقات دی 96 (آنهاکه در قیام دی 96 در حمایت از سامانه پرفروغ پادشاهی پهلوی شعار دادند:#جاوید_شاه و یا #رضا_شاه_روحت_ش…,Political
1433,شاید یه کم دلم واسه روزای خوشی که با اون بودم تنگ شده باشه ولی عمیقا خیلی خوشحالم که به این رفاقت پایان دادم^__^,Nonpolitical
1434,توي جمع ميخواي بفهمی که  چشمش دنبالته یا نه؟ خمیازه بکش و بعد به اون نگاه کن. اگه اونم خمیازه کشید یعنی حدست درست بوده، چون خمیازه از راه دیداری مسریه.جواب ميده شديد...,Nonpolitical
1435, اون که نصفه روز خمار و خوابه... پس کی وقت می‌کنه مدیریت کنه,Nonpolitical
1436,مروری بر رسانه‌های حکومتی – یکشنبه ۳۰دی ۹۷,Political
1437, قبول دارم پر از تناقض بود ولی اصل اعتراض درست بود,Nonpolitical
1438, اگه اندازه و اینا اوکیه از طریق تنظیمات کیندل تو آمازون ایمیل کیندل رو فعال کنید، فایل رو به همون آدرس ایمیل کنید و داخل کیندل سینک رو بزنید.,Nonpolitical
1439,خدا کنه هیچکس از سر نداری از اموزش محروم نشه,Nonpolitical
1440, احساس میکنم این توئیت فقط برای من بود :)))))))صبح شما هم به خیر وپجناب وکیل الرعایا ❤,Nonpolitical
1441,به نظر من ما به خاطر کارمون حقوق نمیگیریم مارو شکنجه میکنن و رئیسامون به خاطر ارضای حس مردم آزاریشون به ما پول میدن,Nonpolitical
1442, هرچه به آقای هوک عزیز گفتیم از ری استارت بگید اما ....شما دیگه باید حمایت کنید اگر به فکر آیند ه ی ایران ه…,Political
1443,شبیه هم شده هرروز، یبار گیر کرده بودم زدم بغل سیگار بکشم یه ماشین اومد گفت ازادی؟سوار شدمادم که گیر میکنه نیاز به ازادی دا…,Nonpolitical
1444,الان سر امتحانی و فک می کنی کونت داره پاره میشه ولی وقتی یکم بزرگتر شدی ۲ تا قسط و ۱ اجاره دادی اونوقته که بهت میگم کون پارگی واقعی یعنی چی,Nonpolitical
1445,  دردو بلاش بخوره تو سر این آخوندهای لعنتی,Political
1446,چند نکته درباره مشروطه:کنار گذاشتن خرد گذشتگان نهایت بی‌خردی است. نه بهره‌گیری نظامی‌ها از سان‌تزو مرتجعانه است، نه الهام‌گر…,Political
1447,وقتمو از سر راه نیاوردم که به خاطر اهداف کوتاه مدت و بلند مدت مسخره تلف کنم,Nonpolitical
1448, ریالو جمع کنن دیگه بسشه (به قول طرف رویال),Nonpolitical
1449, والا آدرس لطف بفرمایید تا از نزدیک شاهدش باشید و ایشالا به پای هم پیر شید.......!,Nonpolitical
1450,آره میخوام برای خودم پیام ناشناس بفرستم تو فضولی ؟!,Nonpolitical
1451, منم همینم محمد کیلو کیلو میگره که شبا باهم بخوریم و فیلم ببینیم امامن تو روز همش میرم و مشت مشت میخورم😅,Nonpolitical
1452,این چه عشقی است که در دل دارممن از این عشق چه حاصل دارممی‌گریزی ز من و در طلبتباز هم کوشش باطل دارمفروغ فرخزاد#عاشقانه,Nonpolitical
1453, و اين كه مطمئنم كه به اون فرد احساسي نداشتم و از رد كردنش پشيمون نميشدم,Nonpolitical
1454,هوا عیب ولا ایه اصلی عمری ما فکرت فی الموضوع دا🤔🤔🙋,Nonpolitical
1455,  اینکه به همه شک داری طبیعی نیستبازم مقصر بقیه نیستن :),Nonpolitical
1456, :))))زن و بچه البته هرگز نمیرد آنکه دلش زنده شد به عشق.,Nonpolitical
1457,در مصرع پایانی از قله صدا باریدبنشین و تماشا کن از کوه پریدن را#با_علی_عبدالرضایی_تا_براندازی #طلب_استمرار_از_مجاهدین_تاجدار#دهه_۱۷تا۲۷دی#قیام_فرودستان_سرخه_نه_سبز‌..,Political
1458,کاش یه وقتهایی با هم مهربون تر بودیم,Nonpolitical
1459, والا منم بودم تو چت اونجوری بی پروا توصیه های ایمنی میکردم، میترسیدم از عواقبش. تو خیلی ریلکس اشاره می‌کنی 😖,Nonpolitical
1460,فرمودند: بخاطر این سریالهای در پیت و رو مخی شبکه آی فیلم هم ک شده باید صدا و سیمای میلی ایران را تحریم کرد!#IraniansWantIRIBban,Political
1461,نام مادر ما فاطمه س کلید هر قفل بسته‌ای هست#یافاطمه_الزهرا,Nonpolitical
1462,  قهرمان سازی از یک فرد با تفکرات کمونیستی و کسی که قهرمانش میرحسین است اشتباه است. خود این آقا گفتند میهن پرستان خود را به ما نچسبانند!!! کمی به این حرف ایشون فکر کنید.چه کسی در دیکتاتوری اسلامی از وزارت اطلاعات با نامه نگاری و غیره مطالبه طلبی میکند,Political
1463, قل میدم روزی دو بار تیزبر بزنمآدرس میدی؟,Nonpolitical
1464,یکی از حسرتای زندگیم اینه که دوران مدرسه کم دعوا میکردم,Nonpolitical
1465,اگر نمیدونی اعلالِ لفیف مقرون چطوریه منو بلاک کن🤕😞,Nonpolitical
1466,من باشم و وِی باشد و مِی باشد و نِی باشد کِی باشد و کِی باشد و کِی باشد,Nonpolitical
1467,لابد همتون در بهت و ناباوری باخت ایران فرو رفتید و نای اینتراکشن ندارید😐توقعاتتون خیلی زیاده هموطن .بلند شو مسائل جدی تری هم هست که بشه بهش پرداخت #ایران #چهل_سال_سرکوب #تیم_ملی,Political
1468,حس غربت؟ پرنده‌ی مهاجری را تصور کنید که زادگاهش جزیره‌ی کوچکی بوده که به زیر آب رفته، حالا بازگشته‌، و آن‌چه می‌بیند، تنها و…,Nonpolitical
1469,  مهلا بیا مهلا بیا گیرات رسید به تایم لانا :)))),Nonpolitical
1470, الان دوست داشتم هالک باشم دیگه. عصبانی که میشم، سبزِ گنده شم بزنم دهن مهنه ملتو صاف کنم کلن همه‌چی یه باره شه :)))),Nonpolitical
1471,اعتراف میکنم ;زمانی که دوره کمک های اولیه رو میگذروندم همش منتظر این بودم که یکی یه طوریش بشه من بهش امداد برسونم.!!,Nonpolitical
1472,چطوری انقد راحت اوکی میشید باهم؟ما که رو هر کی کراش زدیم یا سنش بالا بود یا اینجا نبود یادوس پسر داشت یا چس کرد|:,Nonpolitical
1473,آورده اند که : روزی خواجه ای در میان گروهی از عوام اندر فواید سحر خیزی سخن می راندکه ای مردم همانند من که همواره صبح زو…,Nonpolitical
1474, بقیه اقشار دهنشون رو باز میکنن فقط فاخر میگن,Nonpolitical
1475, آقا اجازهما هر چقدر هم رای بدیم باز ایشان اول نمی‌شودچینی ها بیشمارند,Nonpolitical
1476, گرك ريتوييت ائلييك هامي گؤرسون بو مسموم بئيين لري:))),Nonpolitical
1477,عاقل تر از آنیم که دیوانه نباشیم....هوشنگ ابتهاج,Nonpolitical
1478,  اتفاقا ج ا شکایت کرد وهیچی نتوانست ثابت کند,Political
1479,كاش اينايي كه از بيرون نيگاه ميكنن به زندگي مردمو ميتونستم بيارم از تو هم نيگاه كنن,Nonpolitical
1480,   زن و بچه گناهی ندارن عموما ، چرا میگی اصل اونها هستن ؟,Nonpolitical
1481, اشتباه کوت کردی عزیزمتوییت مردیکه عوضی رو باید کوت میکردی,Nonpolitical
1482, اونم توش کشک هست. اصلا مزه‌اش به کشکه. محتواش کشک، پیازداغ، نعنا، سیب زمینی و تخم مرغ. بعضی لپه هم میریزن. ولی تلیلتش عین همینه :),Nonpolitical
1483, چاه وقاحت این جانوران پرشدنی نیست مزه ی پول مفت خوب کور و کرشان کرده,Political
1484,پ کو که میگفتن زن را در پستوی خانه نهان باید کرد؟؟؟؟چرا من دارم تو این سرما میرم سرکار بیاین نهانم کنید دیگه #چیز_ ت…,Nonpolitical
1485,سرقت مسلحانه از یک طلافروشی در ارومیه #اجتماعی #JIK545 #JIKNEWS,Nonpolitical
1486, کله زندگیم ک تباه شد رو میخواممیخوام از اول ب دنیا بیام و زندگی کنم 😔,Nonpolitical
1487, مررسیی ایشالا سایشون ابدی باشه❤انقد همه از باباهاشون بد میگن فک کردم جدیه :/,Nonpolitical
1488,حتما بخونید:تکرار تاکتیک اصلاحات، این بار در فرم جدید.,Political
1489,جنابان! شما میگوئید کنوانسیون پالرمو ما میشنویم : نفوذ استحاله خیانت استعمار نوین! . . #پالرمو_عليه_معيشت #شفافيت_آراء_مجمع,Political
1490,مقام معظم رهبری:برخی دولتمردان آمریکایی این‌طور وانمود می‌کنند که دیوانه‌اند، البته بنده این را قبول ندارم اما آن‌ها حقیقتاً «احمق‌های درجه یک» هستند.#امید_به_دلقکها#امید_به_احمقها,Political
1491, به مولا ماهی ۱۰۰ میلیون هم درآمدم باشه دوس ندارم پزشک باشم،حالا نگید گربه دستش به گوشت نمیرسه و این حرفها،ولی حال دوستان و مشتری های پزشکمو میبینم روزی صدبار خدا رو شکر میکنم ،شاید به پول برسی ولی به زندگی نه،همین‌ک‌با‌چشم‌پولدار‌نگات‌کنن خیلی دردآوره،هرکاری کنی میگن مایه‌داری,Nonpolitical
1492,در۱نخ سیگارچه موادی وجوددارد؟️نیکوتین⇦ماده ضدحشره️اسیداستریک⇦وکس شمعآرسنیک⇦یک سم خطرناکان اچ3⇦پاک کننده توالت️متانول⇦سوخت موشکحالا بکش,Nonpolitical
1493, هدف زندگي كردن تو همچين جاييهنميرسه بخره رهن ميكنه,Nonpolitical
1494,آخوندی که هندی زاده بود جاش رهبری این مملکت بود؟آخوندی که متولد نجف هست جاش ریاست مصلحت نظام است؟آخوندی که عراقی بود جاش ری…,Political
1495,"""-ای یوسف عشق رو نمودیدست دو هزار مست خستی...""""مولانای جان""""""",Nonpolitical
1496,کیروش عصبی،خشونت و عصبیت رو به تیم منتقل کرد.تیم بزرگ مربی بزرگ میخواد,Nonpolitical
1497,سگ ترین صبح شنبه رو شاهد هستیم دوستان.,Nonpolitical
1498,اینجوری واسم اخم نکنابروهاتو نخ نکنمن دوست دارم پیشم بمونو دل منو بدبخت نکن 😔,Nonpolitical
1499, از وقتی رفتی خیلی نا مهربون شدی :(((,Nonpolitical
1500, چون اظهار نظر آقایون درباره خانوما بوده و ما به خودمون علم حضوری داریم، بله. چی بالاتر از علم حضوری؟ البته در همون مقیاس معرفت بی‌واسطه جواب می‌ده و نسبت به جامعه و دین و ... دوباره شکست می‌خوریم.,Nonpolitical
1501, :))) من خودم یه زمانی با وجود علاقه به حیوانات فوبیای شدید داشتم و ترسوها رو درک می‌کنم ولی دلم برای پشمک هم کبابه.,Nonpolitical
1502,آقای پمپئو عزیز به درخواستهای ملت بزرگ پرشیا و اپوزیسیون میلیونی #ری_استارت توجه بفرمائید.1.دعوت از لیدر آقای سیدمحمد…,Political
1503,دقت كردم اينايي كه لوكيشنشونو نوشتن USA خيلي خوشحالن. كلا.,Nonpolitical
1504,باطل هرچقدر هم ظاهرسازی کنه، بالاخره رسوا می‌شه. مثل طشت رسوایی آمریکا که ژست حقوق بشرش رو #مرضیه_هاشمی رسوا کرد، و ژست دموکرا…,Political
1505,در راه رسیدن به اوجبا مردم مهربان باش چرا کههنگام سقوط با همان مردمروبرو میشویدرمهربانی همچون باران باشکه درترنمشعلف هرز و گل سرخ یکی ستزندگانی تون پر برکت#Taheri_Movement #Inspirational,Nonpolitical
1506, قراره باز با یه طرحی مث رجیستری برینی تو بازار موبایل؟😍یا با بسته های اینترنت نامحدود حجمی (پارادوکس) بیخودی نتو گرون کنی؟😍,Nonpolitical
1507, من اتفاقا دوست دارم  کسانی که توییت میکنم و توییت هاشونومیخونم یه روز بیینم مطمئنا دوستان خوبی پیدا میکنم چون به نظرم ادمای جالبین .... ولی نمیشه دیگه چون یه حس بی اعتمادی هم هست توی جامعه که البته حق میدم,Nonpolitical
1508, شفا نمیگیرن که مارو فقط جون به لب میکنن😂😂😂,Nonpolitical
1509, ینی امتحانتو قبول نشی میری آمریکا؟دمت گرم من قبول نشم باید برم سربازی,Nonpolitical
1510, نظر شما در مورد استقلال‌خواهی ملت‌های تحت ستم رژیم ایران چیست؟اینکه دولت شما در سالهای پیش از انقلاب ۵۷ از ر…,Political
1511,من انقد عاشق رقصم ک با هر اهنگی ک فکرشو کنی تاحالا رقصیدم😬,Nonpolitical
1512,دختره تو لایو اینستا به پسره فحش داده، پسره کشونده‌ش سیرجان و کتکش زده!دختره چطور از تهران رفته سیرجان؟ خانواده‌ش خبر دارن؟پسره چطور خانواده‌ای داره که انقدر وحشی بار اومده؟جامعه چقدر تو شکل‌گیری این حوادث مؤثره؟مشکل فقط «فجازی» نیست اما گاهی به روند شکل‌گیری بزه، سرعت می‌ده.,Nonpolitical
1513,  شما ها اگر به صدا و سیما معترضین چرا به هموطنتون می تازین و طرف افغانی ها رو گرفتین؟,Political
1514, به هیچ وجه همچین منظوری ندارم ن خوردنش افتخاره ن نخوردنش این توییت فقط سوال بود همین,Nonpolitical
1515, دقیقا خاصیت انگل و طفیلی رو دارن. هرجا بتونن میرن اواره و سرگردون,Nonpolitical
1516,آچ قرنگه سرمساغ... فایده های خوردن سیر (خام)در شکم گرسنه.,Nonpolitical
1517,  ادب بهترین راه کار است .....در قاموس شیعه ناسزا جایگاه ندارد,Nonpolitical
1518,▪️تلاش بی وقفه نیروهای خدمات شهرداری تبریز بعد از بارش های امروز به منظور پیشگیری از یخ زدگی سطح خیابانها @ Tabriz Iran,Nonpolitical
1519, نزدیک خونه ما سنگک یک رو کنجد ۲۰۰۰ تومانه،کارت خوان هم داره،خیلی هم شاطرش مودب و خوش مشربه,Nonpolitical
1520,   حداقل من نیومدم بگم نه ۲۰۱۴ حق تیم کیروش رو نخوردن. هم از ناداوری علیه کیروش گفتم هم برانکو هم مایلی.کیروش مشکل خودشه مصاحبه های بی ربط اعصاب خورد کن..یا اون مصاحبه برگشت گفت پولمو بدین تا مصاحبه کنم.این کاراش رفتاراش باعث دشمن تراشیه,Nonpolitical
1521, صد بار زهر يأس مرا ميكشتگر پادزهر من نبود اميدبنظرم يك كار شروع كن. هرچي. مهم نيست بزرگ نباشه.تابلو بكش (مدرن يا آبستره و ممزوج با احساسات خودت) يا درگلداني گياه يا دانه بكار يا بخشي از ديوار رو يه رنگ ديگه كن و بعد دومينويي انگيزه مياد,Nonpolitical
1522,8- در تجریات جهانی نیز حداقل در خصوص #ژاپن این گونه است که #شبکه_بزرگراه_شهری به موازات #شبکه_خیابانی وجود دارد و هیچ محدودیت…,Nonpolitical
1523,اسپرسو دابلش مزه سوهان اب شده میده ،نکن برادر من شما همون رستوران  بارزیل باشی بهتره تا کافه,Nonpolitical
1524, تو بگو چی میخونی،یک کم از خودت بهم شناخت بده ببینم با هم مسابقه ی کم کردن وزن بذاریم😂😂یا زبان بخونیم یا کتابهای متفرقه یا درس,Nonpolitical
1525,مدیریت هم مثل مدارک پزشکی هر روز داره بیشتر میشه :/,Nonpolitical
1526,به پشت که نگریستمدشنه ای بود و ...لبخندی.#عباس_کیارشتمی,Nonpolitical
1527,در تمام طول زندگیم آدمای رو اعصاب اطرافم به طرز معجزه آسایی حذف شدن از زندگیم! بابت این پدیده واقعا از روزگار متشکرم!!!! درست زمانی که دیگه حتی یک روز هم نمیتونم یه آدمو تحمل کنم از زندگیم بدون اینکه بخوام دخالت کنم حذف میشه! ایول!,Nonpolitical
1528,تو را شبيه شب دوست می دارمتيكدست         يكرنگ              بی صدا                        تنها                       و البته؛                          بی پايان                             بی پايان                                بی پايان...#شبانه,Nonpolitical
1529,حِسَم بِت یِه چی فَرآتَر اَز شق درده :)),Nonpolitical
1530,آرزو می‌کنم  دوستی داشته باشی که در یه تصادف معجزه آسا زنده مونده باشه.تا هر بار می‌بینیش به یاد بیاری که اتفاقات بزرگ و معجزه آسای زندگی چیز عجیبی نیست و اتفاقا بیشتر برای آدم های…,Nonpolitical
1531,برف نو، برف نو، سلام، سلامبنشین، خوش نشسته ای بر بامپاكى آوردی ای امید سپیدهمه آلودگی ست این ایام,Nonpolitical
1532,فقط باید فحش بدمسه هفته پیش بری توی بوتیک تن بزنی از رنگش خوشت نیاد انلاین سفارش بدی سه هفته بعد تو رژیم باشی همون رنگی می خوای برسه بعد بهت گشاد باشه...نمی دونم چاق شم دوباره یا اینکه این رو کادو برم بره! :|,Nonpolitical
1533,ولی خدایی پفک هندی رو خام نخوریددلدرد میشید,Nonpolitical
1534, آنقدر احمقم که مسلما نشدنش ۱۰۰ برابر به نفعم بود و خودمم می‌دونم ولی اگر می‌تونستم برگردم گذشته و انتخاب کنم در عین این که همیشه تصمیم منطقی میگیرم تصمیم میگرفتم خودمو بدبخت کنم 😑😑ولی گویا اون نمی خواست من خودمو بدبخت کنم,Nonpolitical
1535,یه نفر هم به فکر سلامت جسمشه و داره ورزش میکنه شما نمیزارین!,Nonpolitical
1536,یکی که بگه پاشو ببرمت کنسرت هزینه‌تم با من چیه؟ همونم ندارم,Nonpolitical
1537,  دور از جون گاو ! اينا گله خوكهاى نجاستخوار  هستن,Nonpolitical
1538,فقط آن را طوطى‌وار از بر شده‌اند چون سنّت يادشان داده به سنّت وفادار بمانند. متاسفانه اغلب غافل‌اند كه جاى بد و خوب مد…,Nonpolitical
1539,  برادران من خیلی حرصم میدینخدامی فردا کل روز رزروت کردم دربست,Nonpolitical
1540,بدیش اینه وقتی میایی بیرون تازه باید به حجم تلفن هایی جواب ندادی پاسخ بدی ...,Nonpolitical
1541, رادار من یک مقدار فرق می کنه :)) یه ذره نظامی تره و S-MODE رو هم نشون میده .,Nonpolitical
